http://unfccc.int/files/adaptation/application/pdf/clim_systems.pdf,The SimCLIM modelling system for climate impact and adaptation assessment,CLIMsystems Ltd,Information Technology Services,"Transport, infrastructure and human settlements; Water resources",United States of America,USA,0,0
http://unfccc.int/files/adaptation/application/pdf/cisco.pdf,Planetary Skin (126 kB),Cisco Systems,Information Technology Services,"Science, assessment, monitoring and early warning",United States of America,USA,0,0
http://unfccc.int/files/adaptation/application/pdf/entergy.pdf,Hurricane Katrina: A climate wakeup c-All,Entergy Corporation,Energyand Utilities,"Transport, infrastructure and human settlements",United States of America,USA,0,0
http://unfccc.int/files/adaptation/application/pdf/john_deere.pdf,"Water conservation through precision irrigation, a growing business",John Deere,Agriculture,"Food security, agriculture, forestry and fisheries",United States of America,USA,0,0
http://unfccc.int/files/adaptation/application/pdf/levi_strauss.pdf,Levi’s® Water,Levi Strauss & Co.,Retail,Water resources,United States of America,USA,0,0
http://unfccc.int/files/adaptation/application/pdf/mckinsey.pdf,Learning about the economics of adaptation,McKinsey & Company,Consultingand Environmental Services,"Business; Science, assessment, monitoring and early warning",United States of America,USA,0,0
http://unfccc.int/files/adaptation/application/pdf/royal_engineers.pdf,Climate resilient reconstruction,Royal Engineers and Consultants,Constructionand Engineering,"Oceans and coastal areas; Transport, infrastructure and human settlements",United States of America,USA,0,0
http://unfccc.int/files/adaptation/application/pdf/the_travelers_companies.pdf,"An ounce of prevention - Linking the interests of homeowners, business, and insurance providers (130 kB)","The Travelers Companies, Inc.",Financial Services,"Oceans and coastal areas; Science, assessment, monitoring and early warning",United States of America,USA,0,0
http://unfccc.int/files/adaptation/application/pdf/the_climate_corporation.pdf,Taking the uncertainty out of climate and weather for stakeholders,The Climate Corporation,Financial Services,"Food security, agriculture, forestry and fisheries",United States of America,USA,0,0
http://unfccc.int/files/adaptation/application/pdf/calvert_investments.pdf,Investing in adaptation,"Calvert Investments, Inc.",Financial Services,"Business; Food security, agriculture, forestry and fisheries; Water resources",United States of America,USA,0,0
