Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2012-09-11 08:12:50,Running,,8.47,0:47:47,5:38,10.64,691.0,182.98,143,"Fastest ever",2012-09-11-0812.gpx
2012-09-09 08:22:17,Running,,33.50,3:18:54,5:56,10.11,2707.0,569.88,,"Pasta carboloading the day before makes wonders. Feeling awesome for the marathon in 48 days ",2012-09-09-0822.gpx
2012-09-08 08:25:01,Running,,5.72,0:32:46,5:44,10.47,466.0,142.64,138,,2012-09-08-0825.gpx
2012-09-06 08:24:01,Running,,18.89,1:57:11,6:12,9.67,1614.0,318.12,,,2012-09-06-0824.gpx
2012-09-04 17:58:05,Running,,6.41,0:37:46,5:54,10.18,568.0,137.74,,,2012-09-04-1758.gpx
2012-09-03 19:25:18,Running,,4.93,0:29:47,6:03,9.92,430.0,111.65,142,,2012-09-03-1925.gpx
2012-09-02 10:33:27,Running,,23.11,2:29:03,6:27,9.30,1908.0,313.03,77,"Great run exploring the city limits, but somehow I run out of energy after 2 hours or so. Too warm? Too humid? The vegan diet? Hmmm. ",2012-09-02-1033.gpx
2012-09-01 08:22:32,Running,,5.51,0:29:12,5:18,11.32,441.0,60.17,,,2012-09-01-0822.gpx
2012-08-30 19:41:58,Running,,6.85,0:37:08,5:25,11.07,591.0,134.89,,,2012-08-30-1941.gpx
2012-08-29 09:15:01,Running,,2.74,0:16:57,6:12,9.68,240.0,29.12,,,2012-08-29-0915.gpx
2012-08-28 18:30:17,Running,,7.24,0:42:42,5:54,10.16,622.0,145.52,,,2012-08-28-1830.gpx
2012-08-27 12:36:01,Running,,10.03,0:59:00,5:53,10.19,794.0,110.73,,,2012-08-27-1236.gpx
2012-08-27 12:36:01,Running,,0.03,0:00:17,9:35,6.26,2.0,0.00,,,2012-08-27-1236.gpx
2012-08-23 08:35:04,Running,,4.50,0:26:56,5:59,10.03,418.0,72.98,,,2012-08-23-0835.gpx
2012-08-21 08:31:19,Running,,8.07,0:50:13,6:13,9.64,684.0,154.79,,,2012-08-21-0831.gpx
2012-08-19 08:27:39,Running,,28.22,3:02:33,6:28,9.28,2376.0,486.64,,,2012-08-19-0827.gpx
2012-08-18 08:47:57,Running,,5.59,0:32:28,5:49,10.32,498.0,162.68,,"Loving this route ",2012-08-18-0847.gpx
2012-08-16 07:37:34,Running,,5.41,0:29:16,5:25,11.09,476.0,63.45,,,2012-08-16-0737.gpx
2012-08-14 06:54:22,Running,,7.78,0:45:20,5:50,10.29,678.0,153.06,,,2012-08-14-0654.gpx
2012-08-13 07:43:17,Running,,5.79,0:33:38,5:48,10.33,510.0,130.91,,,2012-08-13-0743.gpx
2012-08-12 07:50:08,Running,,25.30,2:39:24,6:18,9.52,2184.0,501.55,,"Longest running time. Feel great. Training marathon. ",2012-08-12-0750.gpx
2012-08-11 10:27:25,Running,,5.62,0:36:49,6:33,9.16,492.0,141.73,,,2012-08-11-1027.gpx
2012-08-09 09:22:10,Running,,6.73,0:42:33,6:19,9.49,602.0,140.12,,,2012-08-09-0922.gpx
